GID,GO,EVIDENCE
SEN_RS18460,GO:0003735,IEA
SEN_RS24585,GO:0005886,IEA
SEN_RS06250,GO:0009401,IEA
SEN_RS06250,GO:0005886,IEA
SEN_RS06250,GO:0016020,IEA
SEN_RS06250,GO:0016740,IEA
SEN_RS17800,GO:1901135,IEA
SEN_RS17800,GO:0097367,IEA
SEN_RS19180,GO:0008643,IEA
SEN_RS19180,GO:0034219,IEA
SEN_RS19180,GO:0015752,IEA
SEN_RS19180,GO:0016020,IEA
SEN_RS19180,GO:0005886,IEA
SEN_RS19180,GO:0016887,IEA
SEN_RS19180,GO:0043211,IEA
SEN_RS19180,GO:0015611,IEA
SEN_RS19180,GO:0005524,IEA
SEN_RS19180,GO:0000166,IEA
SEN_RS18500,GO:0005829,IEA
SEN_RS09240,GO:0046417,IEA
SEN_RS09240,GO:0030288,IEA
SEN_RS09240,GO:0016853,IEA
SEN_RS09240,GO:0004106,IEA
SEN_RS01885,GO:0005886,IEA
SEN_RS01885,GO:0016020,IEA
SEN_RS00235,GO:0006418,IEA
SEN_RS00235,GO:0006412,IEA
SEN_RS00235,GO:0006428,IEA
SEN_RS00235,GO:0106074,IEA
SEN_RS00235,GO:0005829,IEA
SEN_RS00235,GO:0005737,IEA
SEN_RS00235,GO:0000049,IEA
SEN_RS00235,GO:0002161,IEA
SEN_RS00235,GO:0004812,IEA
SEN_RS00235,GO:0046872,IEA
SEN_RS00235,GO:0000166,IEA
SEN_RS00235,GO:0016874,IEA
SEN_RS00235,GO:0008270,IEA
SEN_RS00235,GO:0005524,IEA
SEN_RS00235,GO:0004822,IEA
SEN_RS12070,GO:0005829,IEA
SEN_RS12070,GO:0003824,IEA
SEN_RS08315,GO:0009279,IEA
SEN_RS08315,GO:0019867,IEA
SEN_RS14350,GO:0005829,IEA
SEN_RS00915,GO:0061077,IEA
SEN_RS00915,GO:0071555,IEA
SEN_RS00915,GO:0043711,IEA
SEN_RS00915,GO:0030288,IEA
SEN_RS00915,GO:0042597,IEA
SEN_RS05395,GO:0016020,IEA
SEN_RS21165,GO:0006355,IEA
SEN_RS21165,GO:0005829,IEA
SEN_RS21165,GO:0003700,IEA
SEN_RS21165,GO:0043565,IEA
SEN_RS21165,GO:0003677,IEA
SEN_RS05620,GO:0005886,IEA
SEN_RS05620,GO:0016020,IEA
SEN_RS02405,GO:0006779,IEA
SEN_RS02405,GO:0006783,IEA
SEN_RS02405,GO:0005829,IEA
SEN_RS02405,GO:0005737,IEA
SEN_RS02405,GO:0016829,IEA
SEN_RS02405,GO:0046872,IEA
SEN_RS02405,GO:0004325,IEA
SEN_RS19965,GO:0005975,IEA
SEN_RS19965,GO:0019299,IEA
SEN_RS19965,GO:0005737,IEA
SEN_RS19965,GO:0016857,IEA
SEN_RS19965,GO:0062192,IEA
SEN_RS19965,GO:0016853,IEA
SEN_RS03760,GO:0005886,IEA
SEN_RS03760,GO:0005215,IEA
SEN_RS09245,GO:0071468,IEA
SEN_RS21920,GO:0005886,IEA
SEN_RS21920,GO:0016020,IEA
SEN_RS06940,GO:0015833,IEA
SEN_RS06940,GO:0005886,IEA
SEN_RS06940,GO:0005524,IEA
SEN_RS06940,GO:0000166,IEA
SEN_RS15835,GO:0016020,IEA
SEN_RS07440,GO:0005829,IEA
SEN_RS07440,GO:0016491,IEA
SEN_RS13390,GO:0006662,IEA
SEN_RS13390,GO:0045454,IEA
SEN_RS13390,GO:0005829,IEA
SEN_RS13390,GO:0015035,IEA
SEN_RS12075,GO:0005829,IEA
SEN_RS14355,GO:0005975,IEA
SEN_RS14355,GO:0016310,IEA
SEN_RS14355,GO:0016301,IEA
SEN_RS14355,GO:0016740,IEA
SEN_RS14355,GO:0000166,IEA
SEN_RS14355,GO:0005524,IEA
SEN_RS01455,GO:0030288,IEA
SEN_RS08125,GO:0015848,IEA
SEN_RS08125,GO:1903711,IEA
SEN_RS08125,GO:0016020,IEA
SEN_RS08125,GO:0005886,IEA
SEN_RS08125,GO:0015606,IEA
SEN_RS08125,GO:0005215,IEA
SEN_RS12865,GO:0016310,IEA
SEN_RS12865,GO:0031388,IEA
SEN_RS12865,GO:0005829,IEA
SEN_RS12865,GO:0016301,IEA
SEN_RS12865,GO:0016740,IEA
SEN_RS12865,GO:0008887,IEA
SEN_RS21470,GO:0046496,IEA
SEN_RS21470,GO:0016829,IEA
SEN_RS21470,GO:0000166,IEA
SEN_RS21470,GO:0052857,IEA
SEN_RS21470,GO:0052856,IEA
SEN_RS21470,GO:0046872,IEA
SEN_RS21470,GO:0052855,IEA
SEN_RS21470,GO:0005524,IEA
SEN_RS21470,GO:0016853,IEA
SEN_RS09250,GO:0006355,IEA
SEN_RS09250,GO:0005829,IEA
SEN_RS09250,GO:0003677,IEA
SEN_RS01890,GO:0008652,IEA
SEN_RS01890,GO:0006561,IEA
SEN_RS01890,GO:0055129,IEA
SEN_RS01890,GO:0005829,IEA
SEN_RS01890,GO:0005737,IEA
SEN_RS01890,GO:0016491,IEA
SEN_RS01890,GO:0004735,IEA
SEN_RS16580,GO:0005829,IEA
SEN_RS16580,GO:0016829,IEA
SEN_RS16580,GO:0046872,IEA
SEN_RS16580,GO:0051539,IEA
SEN_RS16580,GO:0051536,IEA
SEN_RS15370,GO:0000270,IEA
SEN_RS15370,GO:0071555,IEA
SEN_RS15370,GO:0016998,IEA
SEN_RS15370,GO:0009279,IEA
SEN_RS15370,GO:0016020,IEA
SEN_RS15370,GO:0016798,IEA
SEN_RS15370,GO:0016829,IEA
